100 101 {'weight': 0.12}
100 102 {'weight': 0.09}
100 103 {'weight': 0.1}
100 104 {'weight': 0.07}
100 105 {'weight': 0.08}
100 106 {'weight': 0.05}
100 107 {'weight': 0.1}
100 108 {'weight': 0.08}
100 109 {'weight': 0.05}
101 102 {'weight': 0.11}
101 103 {'weight': 0.15}
101 104 {'weight': 0.09}
101 105 {'weight': 0.11}
101 106 {'weight': 0.1}
101 107 {'weight': 0.07}
101 108 {'weight': 0.08}
101 109 {'weight': 0.06}
102 103 {'weight': 0.16}
102 104 {'weight': 0.04}
102 105 {'weight': 0.11}
102 106 {'weight': 0.08}
102 107 {'weight': 0.07}
102 108 {'weight': 0.07}
102 109 {'weight': 0.1}
103 104 {'weight': 0.09}
103 105 {'weight': 0.09}
103 106 {'weight': 0.1}
103 107 {'weight': 0.06}
103 108 {'weight': 0.1}
103 109 {'weight': 0.08}
104 105 {'weight': 0.05}
104 106 {'weight': 0.05}
104 107 {'weight': 0.04}
104 108 {'weight': 0.04}
104 109 {'weight': 0.08}
105 106 {'weight': 0.09}
105 107 {'weight': 0.06}
105 108 {'weight': 0.07}
105 109 {'weight': 0.11}
106 107 {'weight': 0.04}
106 108 {'weight': 0.07}
106 109 {'weight': 0.1}
107 108 {'weight': 0.05}
107 109 {'weight': 0.05}
108 109 {'weight': 0.09}
