0 105 {}
0 108 {}
0 101 {}
0 102 {}
0 103 {}
1 107 {}
1 108 {}
3 107 {}
4 100 {}
4 102 {}
4 109 {}
4 107 {}
5 109 {}
5 101 {}
5 102 {}
6 108 {}
6 106 {}
7 100 {}
7 103 {}
7 102 {}
8 104 {}
8 103 {}
8 106 {}
9 106 {}
9 107 {}
9 101 {}
10 104 {}
10 105 {}
11 109 {}
11 100 {}
12 100 {}
12 109 {}
12 106 {}
12 108 {}
13 100 {}
13 102 {}
14 105 {}
14 104 {}
14 101 {}
14 100 {}
14 108 {}
15 101 {}
15 107 {}
15 106 {}
16 103 {}
17 106 {}
17 108 {}
17 102 {}
17 104 {}
18 102 {}
19 107 {}
19 109 {}
19 106 {}
20 107 {}
20 109 {}
20 100 {}
21 105 {}
21 104 {}
21 108 {}
21 101 {}
22 100 {}
22 104 {}
22 107 {}
23 104 {}
23 100 {}
23 103 {}
23 106 {}
23 108 {}
23 102 {}
23 107 {}
24 104 {}
24 109 {}
24 101 {}
25 109 {}
25 104 {}
26 107 {}
26 105 {}
26 103 {}
26 100 {}
27 101 {}
27 105 {}
28 109 {}
28 100 {}
28 103 {}
28 102 {}
29 104 {}
29 103 {}
29 109 {}
30 107 {}
30 108 {}
32 107 {}
32 103 {}
32 108 {}
33 107 {}
33 109 {}
34 106 {}
34 108 {}
34 107 {}
36 105 {}
36 109 {}
36 100 {}
36 104 {}
37 109 {}
37 104 {}
38 103 {}
38 107 {}
39 102 {}
39 105 {}
39 103 {}
39 109 {}
39 104 {}
42 102 {}
42 109 {}
43 104 {}
43 101 {}
43 109 {}
44 101 {}
44 102 {}
44 106 {}
45 101 {}
45 102 {}
46 107 {}
46 105 {}
46 102 {}
47 105 {}
47 104 {}
48 101 {}
48 105 {}
49 102 {}
49 109 {}
49 103 {}
50 105 {}
50 107 {}
50 106 {}
51 109 {}
51 105 {}
51 106 {}
51 100 {}
51 108 {}
51 104 {}
52 108 {}
53 105 {}
53 102 {}
54 104 {}
54 102 {}
54 109 {}
54 108 {}
54 103 {}
55 108 {}
55 105 {}
55 102 {}
55 104 {}
56 101 {}
56 103 {}
56 102 {}
56 108 {}
57 101 {}
58 101 {}
59 108 {}
59 107 {}
59 102 {}
60 109 {}
60 102 {}
60 100 {}
60 108 {}
60 107 {}
60 105 {}
61 104 {}
61 105 {}
61 109 {}
62 106 {}
62 108 {}
62 102 {}
63 104 {}
63 102 {}
63 101 {}
63 103 {}
64 106 {}
64 100 {}
64 108 {}
66 107 {}
66 109 {}
67 108 {}
67 107 {}
67 109 {}
68 107 {}
68 102 {}
68 106 {}
69 109 {}
70 103 {}
70 107 {}
70 105 {}
71 107 {}
71 100 {}
72 100 {}
73 107 {}
73 101 {}
74 106 {}
74 105 {}
74 104 {}
75 109 {}
75 108 {}
75 103 {}
76 107 {}
77 106 {}
77 102 {}
77 103 {}
78 104 {}
78 102 {}
79 109 {}
79 106 {}
79 103 {}
80 104 {}
81 104 {}
82 103 {}
82 107 {}
82 108 {}
82 109 {}
82 101 {}
83 108 {}
83 104 {}
84 105 {}
84 102 {}
85 105 {}
85 107 {}
86 107 {}
88 103 {}
88 101 {}
89 104 {}
89 109 {}
89 101 {}
90 103 {}
91 106 {}
91 107 {}
92 109 {}
93 108 {}
93 107 {}
94 104 {}
95 109 {}
95 104 {}
96 106 {}
96 108 {}
96 100 {}
96 105 {}
97 104 {}
97 102 {}
97 103 {}
97 109 {}
98 106 {}
98 105 {}
99 100 {}
99 107 {}
99 106 {}
